Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Python, test_auditoria_1_ms, -1, 407.646179199218750000, 256.659912109375000000,  ,  , 27608, 52.7, 67632
Python, test_auditoria_1_ms, -1, 414.146850585937500000, 262.637268066406250000,  ,  , 27575, 55.7, 67412
Python, test_auditoria_1_ms, -1, 417.148498535156250000, 265.396423339843750000,  ,  , 27566, 51.5, 67272
Python, test_auditoria_1_ms, -1, 411.398254394531250000, 258.846801757812500000,  ,  , 27774, 52.3, 67476
Python, test_auditoria_1_ms, -1, 418.448303222656250000, 266.212280273437500000,  ,  , 27656, 52.0, 67588
Python, test_auditoria_1_ms, -1, 418.219360351562500000, 265.411865234375000000,  ,  , 27745, 55.7, 67656
Python, test_auditoria_1_ms, -1, 414.598815917968750000, 262.255554199218750000,  ,  , 27672, 53.5, 67184
Python, test_auditoria_1_ms, -1, 418.596252441406250000, 265.812988281250000000,  ,  , 27710, 48.2, 67344
Python, test_auditoria_1_ms, -1, 422.333129882812500000, 269.072387695312500000,  ,  , 27768, 47.3, 67528
Python, test_auditoria_1_ms, -1, 421.743469238281250000, 268.215942382812500000,  ,  , 27732, 56.8, 67532
